Template,mname,Subject,date,Inactive Users,1st Time Openers,First Open %,1st Time Clickers,First Click %
GetPaidToTry-(Creative#SA)- Inactive Clicker WorkFlow (1),GPTT (GF Marketing) FROG,(1) confirm your email,10/29/2022,2509,15,0.59429477,21,0.830039526
102922-???? (Zeeto) OkWow $10k Jackpot - CPA (U)-4pm-3x-anc-???? 2ND NOTICE: {{first_name}} you received a JACKPOT of,Major (Dave) GFR,"???? 2ND NOTICE: {{first_name}} you received a JACKPOT offer notification, Confirm ASAP!",10/29/2022,117144,15,0.012803114,22,0.018776778
1029-22-$25ScratchCard-(Creative#7),SweepsMonthly SDR,you have a message in your inbox....,10/29/2022,17651,15,0.084908864,26,0.147083781
MORE THAN 1 DAY OPEN - Internal - GiftCardGrabber CashApp,Giftcardgrabber DRAGON,your records indicate you would be interested in this,10/29/2022,1150,15,1.287553648,12,1.032702238
Saad Official Day 0 (gpt-d0-stp) ????,GetPaidToTry TRG SDR,{{date}} you have a message in your inbox,10/29/2022,4902,15,0.305064063,7,0.142595233
102922 - (Whatif) Top Credit Cards Offer Template 1 [TCCT1] 10:00 pm EE ?,MyShopDiscounts WIFI,"{{ ""now"" | date: ""%m-%d"" }} {{first_name}} your contact information is still pending ?",10/29/2022,99948,14,0.014005322,23,0.023006672
Day 0 Giftcardgrabber [08/20] ???? [EVER] Mania [ATOX],Giftcardgrabber DRAGON,confirm your credit,10/29/2022,1149,14,1.203783319,12,1.033591731
Day 2 (Zeeto) Craftsman - CPA (PY) EFLink,MSDZ1 WIFI,Come & Get Your DeWalt Tool Samples,10/29/2022,5270,14,0.264950795,11,0.208293884
1029-22-Conceptional-NIKEGiftCard-clicked2x+3new,Sig. Surveys (GF Marketing) FROG,we're trying to contact you. did you forget about your offer?,10/29/2022,46156,14,0.03032272,20,0.043312543
2DAY-NEW-???? (INT) MajorSweeps $25 Scratch Off (Travis)-Thank you {{first_name}} {{last_name}} - Here Is Your $25,Major (Dave) GFR,Thank you {{first_name}} {{last_name}} - Here Is Your $25.00 Virtual Scratch off option,10/29/2022,51425,14,0.027216703,6,0.011666116
102922 - (Whatif) The American Survey CashApp Template 1 (TAST1) 6:00pm OPN ?,Samplegrabber special WIFI,"{{ ""now"" | date: ""%m-%d"" }} you haven't seen your secret offer >>>",10/29/2022,5881,14,0.237489398,17,0.288233299
Clickwork Cashapp,GPTTco SDR,"2nd attempt: {{ ""now"" | date: ""%m-%d"" }} confirm your Cashapp offer",10/29/2022,6159,14,0.226794103,37,0.597159458
102922-(INT) MajorSweeps $25 Scratch Off (Travis)-7am-2x-anc-Please confirm your email,Sig (Dave) GFR,Please confirm your email,10/29/2022,34475,14,0.040592653,13,0.03769427
Been Sent Any Email Today Workflow Email # 1 (AMDDS) - [BSD1],SigM1 FROG,{{first_name}} your door dash sweeps entry is pending activation,10/29/2022,4258,13,0.304378366,16,0.374356575
GetPaidToTry-(Creative#SA)-STRONG-CREATIVE,GPTT (GF Marketing) FROG,Unread:Confirm Your Email,10/29/2022,2899,13,0.446428571,27,0.922761449
Day 0 Follow Up: Zinq Samsung Product Test (atox-ssngsmra1) ????????,GPTTco SDR,Product Test a Samsung OLED TV. Confirm Your Application,10/29/2022,7239,13,0.179260894,7,0.096605023
102922 IN DG Tx (10:00pm) / Email Exists ?,GPTTZ1 PNT,"{{first_name}}, confirm your pending offer ?????{{ ""now"" | date: ""%m-%d"" }}",10/29/2022,65867,13,0.019732848,26,0.039457909
102922-???? (Zeeto) OkWow $100 CashApp - CPA (U)-12am-ee-Your alert confirmation code is 651-932 ?,Sweepsgen2 GFR,Your alert confirmation code is 651-932,10/29/2022,124882,13,0.010408743,38,0.030419468
1029_22_conceptual_visa 2am ?????,GetPaidToTry TRG SDR,"{{ ""now"" | date: ""%m-%d"" }} your Visa offer is here.",10/29/2022,30021,13,0.043284278,17,0.05659498
102922-???? (WhatIf) Found Money Guide - RS (U)-8pm-3x-anc-verify your email address,Major (Dave) GFR,verify your email address,10/29/2022,119214,13,0.01090357,25,0.020966295
1029-22-Conceptional-AdidasGC-clicked2x+3new,MajorSweeps FROG,DELIVERED: we tried to reach you,10/29/2022,28471,12,0.042130394,23,0.080718748
1029_22_Zeeto_Bath&BodyRose_7am (EE) ?????,Sig TRG DRL,Bath & Body Works ? Rose samples,10/29/2022,13118,12,0.091393755,11,0.08378399
1029_22_ZinQ_WesternUnion_7am (EE-1DN) ?????,GiftCardGrabber A DRL,{{first_name}} we sent you a cash offer alert,10/29/2022,5443,12,0.219981668,12,0.219981668
1029_22_zeeto_cashapp$1k 6pm ????????,GPTTco SDR,{{first_name}} your cashapp offer is here,10/29/2022,26236,12,0.045717769,26,0.099002361
1029-22-Siginternal(CREATIVE#6),GPTT (GF Marketing) FROG,???? ((open asap)) confirm your account,10/29/2022,12888,12,0.093023256,17,0.131731887
Non Clicker 1D,GPTTco SDR,{{date}} You have a message in your inbox,10/29/2022,5810,12,0.206114737,14,0.240384615
Internal_GPTT_OWNC ????,GPTT A DRL,please confirm your $5 credit,10/29/2022,1272,11,0.857365549,31,2.379125096
"1.5hr-102922-???? (ZinQ) Win $100 Chevron Gift Card - [GAS] - CPA (U)-830am-2x-anc-We sent you a message alert, Vi",Sweepsgen2 GFR,"We sent you a message alert, View ASAP!",10/29/2022,61772,11,0.01780425,15,0.024276951
Exclusion First Email (INT) Gift Card Grabber [GCGT1] ????,MyShopDiscounts WIFI,We sent you a cash app deposit offer alert >>>,10/29/2022,9083,11,0.120958874,10,0.109974706
Zeeto_AmazonGiftCard_Day0 (Email #2),giftcardgrabber FROG,Message available: Your BONUS Amazon offer inside,10/29/2022,2368,11,0.462379151,13,0.54598908
102922-???? (WhatIf) Found Money Guide - RS (U)-6am(email-exists)Reminder: Verify Your Email ?,Major (Dave) GFR,Reminder: Verify Your Email,10/29/2022,111641,11,0.00985204,9,0.008060905
2PM - 1029  - Zinq Playstation 5  ????????,GPTT C DRAGON,"???? hello, your offer has arrived",10/29/2022,8915,11,0.123235492,24,0.268486408
1029-22-Zeeto-DEWALT(OK)-(4NEW)(OPEN) ?,SignatureSurveys FROG,open asap: you've got a GOLDEN TICKET ????,10/29/2022,44784,11,0.024556312,28,0.062483263
4PM - 1029 - GPTT Internal v21.5 -  [ Opened or 4 day new ] ?,GPTT C DRAGON,???? {{first_name}} we sent you a $5.00 credit offer,10/29/2022,18300,11,0.06007318,12,0.065530799
Scratch Card v10 - [scr-dz2],GPTTN2 DRAGON,"{{ ""now"" | usa_time_zone: ""ET"" | date: ""%m-%d-%Y"" }} we sent you a message",10/29/2022,4652,11,0.235899635,7,0.150246834
1029_22_Internal_GCGVisa_1am (EE) ?????,Sig TRG DRL,"{{first_name}}, please confirm your email",10/29/2022,12782,11,0.085984523,16,0.125019534
102922 - (INT) MajorSweeps Offer [HROT1] 10:00 pm **BONUS** ?,gcgSGRB WIFI,your contact info needs to be confirmed,10/29/2022,9956,11,0.110364202,20,0.200481155
1029-22-Schenzo-BuyNowPayLater-(4NEW)(OPEN) ?,Sig. Surveys (GF Marketing) FROG,you have received buy now & pay later options. (details inside),10/29/2022,21785,11,0.050467976,12,0.055053448
Sig MIKD day0 ????,SIGNATURESURVEYS MIKD DRAGON,can you please confirm your email?,10/29/2022,1265,11,0.862068966,14,1.09460516
Internal GPTT - Opener Level 5 ????,GiftCardGrabber SDR,{{first_name}} Activate your account,10/29/2022,1082,11,1.006404392,17,1.546860783
"102922-???? (WhatIf) Click 4 Riches - RS (U)-8pm-3x-anc-You received a $50,000 INSTANT WINNER offer today, Verify ",Sig (Dave) GFR,"You received a $50,000 INSTANT WINNER offer today, Verify ASAP!",10/29/2022,35928,10,0.0278257,13,0.03617039
102922 - (Conceptual) Netflix Reward Template 1 (NETT1) 6:00 pm **BONUS**EE  ?,Samplegrabber special WIFI,10/29/22 FWD: we sent you an netflix rewards offer >>,10/29/2022,5881,10,0.169750467,12,0.203631427
Internal_SIG_1DYO,Sig TRG DRL,{{first_name}} we sent you a message alert,10/29/2022,2840,10,0.350877193,9,0.315900316
102922-???? (WhatIf) Found Money Guide – Grants - RS (U)-10pm-4x-1dno-{{first_name}} we've been trying to reach yo,Sweepsgen (Dave) GFR,{{first_name}} we've been trying to reach you...,10/29/2022,66826,10,0.014961997,11,0.01645795
102922 - (Whatif) Click 2 Win 4 Life EE  ? 11:00pm,MyShopDiscounts WIFI,"{{ ""now"" | date: ""%m-%d"" }} {{first_name}}, we found a sweepstakes for you to enter! ????",10/29/2022,99948,10,0.010004202,10,0.010004202
1029-22-Fluent(S&P)-MULTI-(3NEW)(OPEN),Sig. Surveys (GF Marketing) FROG,Confirmation #NB70351: your deposit offer is waiting...,10/29/2022,25822,10,0.038711675,23,0.088992068
"102922-???? (Skenzo 2) Balance Transfer CC 0121 - RS (U)-5pm-3x-anc-???? HELLO, You received Balance Transfer Credit ",Major (Dave) GFR,"???? HELLO, You received Balance Transfer Credit Card options, View ASAP!",10/29/2022,117661,10,0.008498271,16,0.01359654
> ????-live-1DAY-NEW-AND-1DAY-SENT-???? Signature Surveys - CPA-You have available account credit,Sig (Dave) GFR,You have available account credit,10/29/2022,21832,10,0.045783353,5,0.022896918
1029-22-Spark-NoFeeCredit-(3NEW)(OPEN),Sig. Surveys (GF Marketing) FROG,DELIVERED: Credit Line Up to a $500 with NO Monthly Fee,10/29/2022,25544,9,0.035220913,10,0.039132817
Click2Win -WhatIf (OPENER WORKFLOW - Email#1) ????,MajorSweeps FROG,verify your email (#90523NB),10/29/2022,3067,9,0.292587776,48,1.540930979
6PM - 1029 - Rubbermaid Samples v3 [OPENERS] ?,GPTT C DRAGON,"{{first_name}} we sent you a Rubbermaid package offer today, Confirm ASAP!",10/29/2022,17796,9,0.050547599,24,0.134680135
2DAY-NEW-???? GiftCardGrabber-Paypal- CPC-PayPal offer has Arrived,Sig (Dave) GFR,PayPal offer has Arrived,10/29/2022,9753,9,0.092194222,2,0.020502307
102922 (Fluent) Victoria Secret Reward Offer  [DPOT1] 10:00 pm **BONUS** EE ?,gpttSGRB WIFI,10.29.22 confirm your $250 victoria secret offer.,10/29/2022,3427,9,0.26193248,13,0.377906977
Day 0 Follow Up -  Zinq - Beats [make-ATOX-dz2h],GPTT C DRAGON,This is a message for {{first_name}}: You Can Product Test Beats Headphones at No-Cost,10/29/2022,4860,9,0.184842884,8,0.164338537
"102922-???? (Shift44) Housing Assistance - CPC (U)-7pm-3x-anc-{{first_name}} we sent you HOUSING ASSISTANCE Info, ",Sweepsgen2 GFR,"{{first_name}} we sent you HOUSING ASSISTANCE Info, view ASAP!",10/29/2022,63655,9,0.014136718,9,0.014136718
Day 0 4 hour Follow up Internal - GiftCardGrabber CashApp - refresh [DATE] (2),GPTTN2 DRAGON,"{{ ""now"" | usa_time_zone: ""ET"" | date: ""%m-%d-%Y"" }} your records indicate you would be interested i",10/29/2022,4673,9,0.192225545,11,0.234842015
Conceptual_Kohls_Day0 (Email #4),giftcardgrabber FROG,???? {{first_name}} please confirm your email,10/29/2022,2477,9,0.362027353,12,0.482121334
cncptamcx-1dn0clk3em 1 Day New + 0 click + Sent 3 Emails Or More Workflow: Conceptual AMC GC ????,GPTT C DRAGON,Offer Delivered Electronically: An AMC Gift Card Offer,10/29/2022,4462,9,0.201297249,7,0.156634594
102922-(INT) MajorSweeps $25 Scratch Off (Travis)-12am(email-exists)We Sent You A $25.00 Scratch Card ?,Sig (Dave) GFR,We Sent You A $25.00 Scratch Card,10/29/2022,33634,9,0.026751479,9,0.026751479
Internal - GiftCardGrabber CashApp,GPTTN DRAGON,your records indicate you would be interested in this,10/29/2022,567,9,1.5625,43,7.049180328
102922-???? (ZinQ) Beats Remake T&K - CPA (U)-10am-2x-ao-AND-nc-OR-1dn-Please confirm your email address,GiftCardGrabber GFR,Please confirm your email address,10/29/2022,1920,8,0.414937759,5,0.25974026
WEEKLY - Open No Open Day 5 (WhatIf) Found Money Guide ???? EFLink,MyShopDiscounts WIFI,Please verify your email,10/29/2022,719,8,1.100412655,54,6.985769728
????-live-day0-v2-GetPaidToTry - CPA-???? verify your email ASAP!,Sig (Dave) GFR,???? verify your email ASAP!,10/29/2022,3944,8,0.20242915,6,0.151898734
1029_22_fluent_paypal_4am ????????,MajorSweeps SDR,{{first_name}} your PayPal offer is here,10/29/2022,38517,8,0.020765737,12,0.031145371
"102922-???? (Skenzo 2) Bank Account 0520 - RS (U)-7pm-5x-anc-{{first_name}} we sent you Bank Account options, View",Major (Dave) GFR,"{{first_name}} we sent you Bank Account options, View ASAP!",10/29/2022,118702,8,0.006739112,18,0.015161725
Day 0.99 PayPal Conceptual  (d0pint99) ????????,GetPaidToTry TRG SDR,{{first_name}} Confirm your PayPal offer,10/29/2022,4699,8,0.169959635,5,0.106292517
102922- (Apptness) Unclaimed Money [VSOT1]  9:00 am OPN ?,gcgSGRB WIFI,"{{ ""now"" | date: ""%m-%d"" }} you have unclaimed offers waiting for you {{first_name}}...",10/29/2022,3477,8,0.229555237,5,0.143595635
Day0 ???? ???? EFLINK (Amici) Adidas Sample - October subject line,MyShopDiscounts WIFI,October 2022:  your email confirmation is being requested {{first_name}} >>>,10/29/2022,12177,8,0.065654493,9,0.073855244
Clickwork7_CashApp ????????,SignatureSurveys FROG,Please confirm your CashApp offer,10/29/2022,3493,8,0.228506141,24,0.682399773
102922-???? GiftCardGrabber-Cash App - CPC-9pm-4x-1dnc-{{first_name}} your alert confirmation code is 751-932,Major (Dave) GFR,{{first_name}} your alert confirmation code is 751-932,10/29/2022,119749,8,0.006680194,18,0.015029182
102922-???? (Zeeto) OkWow $10k Jackpot - CPA (U)-10am-2x-ao-AND-nc-OR-1dn-{{first_name}} you received a JACKPOT of,Major (Dave) GFR,"{{first_name}} you received a JACKPOT offer notification, Confirm ASAP!",10/29/2022,17935,8,0.044585632,10,0.055725829
"1.5hr-102922-???? (ZinQ) Win a $750 PayPal Prepaid Card - CPA (U)-830am-2x-anc-We sent you a message alert, View A",Sweepsgen (Dave) GFR,"We sent you a message alert, View ASAP!",10/29/2022,64884,8,0.012328176,15,0.023112837
OPENER - (GetitFree) Adidas Socks Sample Template 1 [ASOT1] (OPENER FLOW) ???? opnflw EFLink,MyShopDiscounts WIFI,"{{first_name}}, You have not activated your offer ??",10/29/2022,719,8,1.100412655,38,5.019815059
1029_22_zeeto_PayPal 4am ?????,GiftCardGrabber SDR,???? Your PayPal offer is here,10/29/2022,8322,8,0.096038415,5,0.060045635
102922-???? (Zeeto) Yankee Summer - CPA (U)-9am-2x-anc-Your PACKAGE offer was eDelivered on 10/29/2022,Sig (Dave) GFR,Your PACKAGE offer was eDelivered on 10/29/2022,10/29/2022,34885,8,0.022927235,22,0.063024608
102922 (Zinq) Bath And Body  [BBWT1] 6:00 pm **BONUS** EE ?,gpttSGRB WIFI,"{{ ""now"" | date: ""%m-%d"" }} confirm your pending product tester application offer",10/29/2022,3432,8,0.23255814,8,0.23255814
102922-???? (Skenzo 2) Bank Account 0520 - RS (U)-1230pm-2x-ao-AND-nc-OR-1dn-Accept Your Bank Accounts options ASA,Major (Dave) GFR,Accept Your Bank Accounts options ASAP!,10/29/2022,16170,7,0.043271311,23,0.142036683
"> ????-live-day0-???? (Zeeto) Fall Free Samples 2 - CPA (U)-Thank You {{first_name}}, here is your WELCOME PACKAGE of",GPTT (Dave) GFR,"Thank You {{first_name}}, here is your WELCOME PACKAGE offer, Confirm ASAP!",10/29/2022,2076,7,0.336053769,8,0.383877159
GPTT Internal 2.5 ???? (48hr-nonclk),GPTT C DRAGON,2nd attempt: ???? {{first_name}} Your Notification Has Arrived,10/29/2022,4437,7,0.157515752,4,0.090069804
O no O in 6 D GPTT T2 ???? EVERFLOW,gcgSGRB WIFI,Please verify your email info inside,10/29/2022,1205,7,0.577557756,4,0.330851944
630pm - 1029 - Conceptual Cashapp [first] [date] ?,Signature 2019 DRAGON,{{first_name}} please confirm your Cashapp offer delivered on 10/29/2022,10/29/2022,9824,7,0.071203336,19,0.19303058
DAY0 email 6 - (INT) GCG Wendys [Template 1]  ????????,MyShopDiscounts WIFI,"? {{ ""now"" | usa_time_zone: ""ET"" | date: ""%m-%d-%Y"" }} Arrived: offer for {{first_name}}",10/29/2022,12131,7,0.057670127,8,0.065903287
630AM - 1029 - SIG internal 5  ?,Signature 2019 DRAGON,Confirm Your Account - (Review ASAP),10/29/2022,10731,7,0.065189048,12,0.111700642
DAY0 email 3 - (INT) SIG Internal ???? EFLink,MyShopDiscounts WIFI,Your offer is available. Access it now,10/29/2022,12132,7,0.057665376,8,0.065897858
2DAY-NEW-???? (INT) SignatureSurveys (Travis)-Please confirm your email address,Sweepsgen2 GFR,Please confirm your email address,10/29/2022,19113,7,0.036610879,6,0.031382394
102922-???? (Zeeto) Yankee Summer - CPA (U)-4pm-3x-anc-{{first_name}} your PACKAGE offer was eDelivered on 10/29/2,Sig (Dave) GFR,{{first_name}} your PACKAGE offer was eDelivered on 10/29/2022,10/29/2022,35421,7,0.019758383,10,0.028223872
Day 0 - GPTT INTERNAL (#1 EMAIL) **,GPTTM1 FROG,please confirm your email,10/29/2022,1158,6,0.515463918,4,0.344234079
Zinq PS5 Offer All Openers -ps5-znq-ATOX,GPTTN2 DRAGON,"hello, please verify your email for your product testing offer",10/29/2022,596,6,0.996677741,7,1.160862355
GetPaidToTry-(Creative#SA)-STRONG-CREATIVE ???? (supp3),MajorSweeps FROG,Unread :Confirm Your Email,10/29/2022,16168,6,0.037096575,7,0.043276662
GPTT Internal v1 [1dyo-int-atox],Signature 2019 DRAGON,can you please confirm your email?,10/29/2022,2818,6,0.212464589,8,0.283085633
Internal_SIG_Day0 (Email #1) ????,SignatureSurveys A DRL,we sent you a message alert,10/29/2022,653,6,0.91047041,7,1.060606061
open 10times and no click - fluent Venmo,SigCo SDR,???? {{date}} your Venmo offer is pending,10/29/2022,1622,6,0.368550369,6,0.368550369
1029_22_Internal_MJS_8pm (EE) ?????,Sig TRG DRL,{{first_name}} we sent you a message alert,10/29/2022,13741,6,0.043645886,27,0.196106915
102922-???? (INT) GetPaidtoTry (Travis)-12am(email-exists)???? Verify Your Email Address {{first_name}} ?,GiftCardGrabber GFR,???? Verify Your Email Address {{first_name}},10/29/2022,5908,6,0.101454177,9,0.152104107
Opener Workflow - Click2Win -WhatIf (Email#2),GIFTCARDGRABBER MIKD FROG,verify your email,10/29/2022,728,6,0.817438692,36,4.712041885
*PA Shell Survey $90,GPTTZ1 PNT,{{date}} You’ve been selected! Start your Shell survey to unlock reward offers ?,10/29/2022,6178,6,0.09702458,6,0.09702458
WEEKLY - Open no open day 2 (INT) SIG Internal ???? EFLink,MyShopDiscounts WIFI,Thank you {{first_name}} {{last_name}} - Here is your $5 instant activation bonus offer,10/29/2022,719,6,0.827586207,13,1.775956284
1029_22_intrenal_mjs_12am ?????,GiftCardGrabber SDR,???? {{first_name}} you have a message in your inbox,10/29/2022,8356,6,0.071753169,9,0.107591154
WEEKLY - (GCG) Cash App Reward Offer [GCGT1] ???????? EFLink,MyShopDiscounts WIFI,{{first_name}} confirm your Cash App sweeps offer,10/29/2022,719,6,0.827586207,12,1.641586867
"102922-???? (WhatIf) Unemployment Benefits Guide - CPA (U)-8pm-3x-anc-You received UNEMPLOYMENT BENEFITS info, Vie",Sweepsgen2 GFR,"You received UNEMPLOYMENT BENEFITS info, View ASAP!",10/29/2022,63844,6,0.009397024,9,0.014094874
1029 - 830AM - (BriteBox) True Card v3 - CPA ?,Signature 2019 DRAGON,"We sent you a CREDIT LINE offer notification, Confirm ASAP!",10/29/2022,10571,6,0.05672686,12,0.113389398
CashApp - csh-do75 ????,GetPaidToTry TRG SDR,"alert - confirm your Cashapp offer for {{ ""now"" | date: ""%m-%d"" }}",10/29/2022,4786,6,0.125208681,8,0.166875261
"102922-???? (Zeeto) OkWow $10k Jackpot - CPA (U)-10pm-1dno-We sent you a JACKPOT offer notification, Confirm ASAP!",Major (Dave) GFR,"We sent you a JACKPOT offer notification, Confirm ASAP!",10/29/2022,118388,6,0.005067824,12,0.010135135
1029_22_zeeto_bankofamerica$1k_10pm ?????,GPTTco SDR,{{first_name}} Your offer is here...,10/29/2022,22772,6,0.026341206,9,0.039506606
Day 0 Follow Up: Zeeto Target (2GXWa-tgt-atox-smr) ????????,GPTTco SDR,{{first_name}} You Have (1) Redeemable Target Gift Card Offer,10/29/2022,7233,6,0.082884376,4,0.055271521
Day 1: Clickwork Cashapp (d1u-bxin) ????????,GPTTco SDR,{{date}} confirm your Cashapp offer,10/29/2022,6973,6,0.085972202,11,0.157502864
1029_22_Spark_InflationSweeps_8pm (EE) ?????,Sig TRG DRL,"You could win $4,500.00 ?",10/29/2022,13741,6,0.043645886,5,0.036374218
102922 (Skenzo) Bank Accounts 0920 (SZBNKT1)  4:00 pm OPN ?,gcgSGRB WIFI,"{{first_name}}, Your Banking Options Are Pending Review...????",10/29/2022,9881,6,0.060685749,13,0.131392763
102922 - (Amici) Ok Wow - $100 Adidas - CPA (PY) 2:00 pm EE ?,gcgSGRB WIFI,"{{ ""now"" | date: ""%m-%d"" }} Do you want a $100 Adidas gift card?",10/29/2022,9632,6,0.06225358,10,0.103712923
ZinQ_M&MsVsSkittles_Day0 Non-Clickers ???? ???? ????,GPTT A DRL,We tried to contact you (Check For BONUS),10/29/2022,2998,5,0.166500167,5,0.166500167
MORE THAN 1 DAY NON CLICK - GPTT Internal v12.5,Giftcardgrabber DRAGON,????  $5 instant activation bonus offer,10/29/2022,1150,5,0.432900433,5,0.432900433
Internal_SampleThat_Day0 (Official Email #1),Sample TRG DRL,Please confirm your email,10/29/2022,167,5,2.906976744,5,2.906976744
GPTT Internal 2.5 ???? [ATOX],GPTT C DRAGON,???? {{first_name}} Your Notification Has Arrived,10/29/2022,759,5,0.654450262,24,3.0651341
1029_22_int-scrtch-microsoft surface-zinq-6am  ?????,GPTTco SDR,"{{first_name}} you have a message in your inbox, see here.",10/29/2022,22434,5,0.022282633,18,0.080171032
Zeeto-Tide-Open-Specific-StrongTemplate-- [-tidemn--atoxsmr],GetPaidToTry TRG SDR,{{first_name}} You have a message in your inbox regarding a Tide sample,10/29/2022,811,5,0.612745098,33,3.909952607
zeeto paypal drop,GetPaidToTry TRG SDR,{{first_name}} your PayPal offer has arrived,10/29/2022,803,5,0.618811881,63,7.27482679
102922-???? (WhatIf) The American Survey – Spin to Win - RS (U)-10pm-4x-1dno-verify your email,Sweepsgen2 GFR,verify your email,10/29/2022,63684,5,0.007850649,6,0.009420631
Internal_SIG_Day0 Non-Openers ????,GPTT A DRL,{{first_name}} we sent you a message alert,10/29/2022,4290,5,0.116414435,6,0.139664804
Day 0 EFLink,GETPAIDTOTRY MIKD WIFI,your offer finalist letter is ready {{first_name}} ?,10/29/2022,755,5,0.657894737,4,0.527009223
1029 -  ZinQ - win a circle k voucher v2 - [YR] 1030PM,Giftcardgrabber DRAGON,2nd Notice >> ?? Confirm your $100 Gas/Fuel Voucher offer,10/29/2022,2264,5,0.220361393,10,0.439753738
1 Day Old and Received an Email today: GCG Visa ????????,GPTTco SDR,ATTN: Confirm your Visa offer,10/29/2022,7244,5,0.068975031,8,0.110314396
1.5hr-102922-???? (Fluent) S&P - Zelle $750 - RS (U)-830am-2x-anc-{{first_name}} you received a ZELLE DEPOSIT offe,Sig (Dave) GFR,"{{first_name}} you received a ZELLE DEPOSIT offer alert today, Confirm ASAP!",10/29/2022,34653,5,0.014426684,12,0.034617049
GetPaidToTry-(Creative#SA)-Inactive Clicker WorkFlow ????????,SignatureSurveys FROG,please confirm your email,10/29/2022,658,5,0.754147813,60,8.356545961
2 Day New No Opens - (Zinq) PayPal Template 1 [PPLT1] EFLink,MSDZ1 WIFI,(1) Delivered: we tried reaching you.,10/29/2022,5159,5,0.096824167,13,0.251353442
"102922-???? (ZinQ) Beats Remake T&K - CPA (U)-9am-2x-anc-You received a TESTER PACKAGE offer notification, Confirm",GiftCardGrabber GFR,"You received a TESTER PACKAGE offer notification, Confirm ASAP!",10/29/2022,6424,5,0.077772593,7,0.108847769
Shift44_RewardsLockerAmazon_Day0 (Email #3),giftcardgrabber FROG,We tried to reach you....,10/29/2022,2432,5,0.205170291,4,0.164203612
2 Day New No Opens - EMAIL #2 EFLink,MSDZ1 WIFI,"{{first_name}}, your email needs to be confirmed",10/29/2022,4413,5,0.113173382,7,0.158371041
Official Saad Day 0 ????,GiftCardGrabber SDR,ALERT: Your PayPal offer has arrived,10/29/2022,1081,5,0.460405157,3,0.276752768
102922 - (Diablo) USA Grants - CPA (DUST2) 8:00 pm EE ?,gcgSGRB WIFI,{{first_name}} you have funding offers waiting for you ??,10/29/2022,9959,5,0.05018065,15,0.150391017
1029 - GPTT Internal v18  [6AM]  ?,GPTT C DRAGON,"{{ ""now"" | date: ""%m-%d"" }} please check your message regarding your $5.00 credit",10/29/2022,17284,4,0.023137436,23,0.132894205
102922-???? (Fluent) S&P - Zelle $750 - RS (U)-10pm-4x-1dno-{{first_name}} you received a ZELLE DEPOSIT offer aler,Sig (Dave) GFR,"{{first_name}} you received a ZELLE DEPOSIT offer alert today, Confirm ASAP!",10/29/2022,36010,4,0.011106792,7,0.019435267
DAY0 email 5 - (INT) Major Sweeps [INTMJST1] ???? EFLink,MyShopDiscounts WIFI,We’re giving you access to this GOLDEN offer?,10/29/2022,12132,4,0.032959789,2,0.016482611
day 0 72 hour follow up to non openers: coca-cola XWb-atox-72hrfp1 ???????? (2),GetPaidToTry TRG SDR,delivery attempt 3 days ago: {{first_name}} we're trying to reach you regarding your product testing,10/29/2022,3610,4,0.110680686,3,0.08303349
> ????-live-day0-v1-???? GetPaidToTry - CPA-865883 is your Email confirmation code,Sweepsgen (Dave) GFR,865883 is your Email confirmation code,10/29/2022,4542,4,0.087989441,3,0.066006601
1029_22_Flatiron_MDMExclusives_7pm (EE-SA1D) ?????,GiftCardGrabber A DRL,2nd notice - please verify your contact info,10/29/2022,1934,4,0.206398349,10,0.514403292
Open Level 1 Internal - GiftCardGrabber Paypal v2 ????,GPTT C DRAGON,DELIVERED: we tried to reach you,10/29/2022,756,4,0.526315789,22,2.827763496
430AM - 1029 -  Clickwork7 - Cashapp Vs Paypal - [ OPEN] ?,Signature 2019 DRAGON,Cash App deposit or PayPal GC - You get to choose,10/29/2022,6050,4,0.066072019,4,0.066072019
Scratch Card v3 ???? [atox],Signature 2019 DRAGON,{{first_name}} {{last_name}} Has Received a $25.00 Scratch Card,10/29/2022,3745,4,0.106695119,8,0.213162803
OPENER WF Click2Win -WhatIf (09/15),GPTT (GF Marketing) FROG,verify your email,10/29/2022,204,4,1.923076923,6,2.857142857
1029-22-Conceptional-CashApp,giftcardgrabber FROG,we're trying to contact you. did you forget about your offer?,10/29/2022,11536,4,0.034662045,10,0.086610081
102922-(INT) MajorSweeps $25 Scratch Off (Travis)-9pm-4x-1dnc-Please confirm your email ASAP!,Sig (Dave) GFR,Please confirm your email ASAP!,10/29/2022,36050,4,0.011094469,7,0.019413706
102922-???? (ZinQ) Beats Remake T&K - CPA (U)-4pm-3x-anc-2ND NOTICE: You received a TESTER PACKAGE offer notificat,GiftCardGrabber GFR,"2ND NOTICE: You received a TESTER PACKAGE offer notification, Confirm ASAP!",10/29/2022,6494,4,0.061557402,5,0.076934913
102922-???? (Fluent) S&P - Zelle $750 - RS (U)-8am-2x-anc-2ND NOTICE: You received a ZELLE DEPOSIT offer alert tod,Sig (Dave) GFR,"2ND NOTICE: You received a ZELLE DEPOSIT offer alert today, Confirm ASAP!",10/29/2022,34859,4,0.011473482,3,0.008605358
Internal_GPTT-(Creative#10) ????,Major Sweeps 2 FROG,activate your account,10/29/2022,297,4,1.328903654,23,7.1875
